,precision,recall,f1-score,TP,FP,FN
canario_do_amazonas,0.890625,0.9827586206896551,0.9344262295081966,57,7,1
chupim,0.8809523809523809,0.9487179487179487,0.9135802469135802,37,5,2
rolinha,1.0,1.0,1.0,27,0,0
sanhaco_da_amazonia,0.92,1.0,0.9583333333333334,23,2,0
sanhaco_do_coqueiro,0.7333333333333333,0.88,0.8,22,8,3
