,precision,recall,f1-score,TP,FP,FN
canario_do_amazonas,0.9193548387096774,0.9827586206896551,0.95,57,5,1
chupim,0.813953488372093,0.8974358974358975,0.8536585365853658,35,8,4
rolinha,0.96,0.8888888888888888,0.923076923076923,24,1,3
sanhaco_da_amazonia,0.9166666666666666,0.9565217391304348,0.9361702127659574,22,2,1
sanhaco_do_coqueiro,0.525,0.84,0.6461538461538462,21,19,4
