,precision,recall,f1-score,TP,FP,FN
canario_do_amazonas,0.8888888888888888,0.9655172413793104,0.9256198347107438,56,7,2
chupim,0.8285714285714286,0.7435897435897436,0.7837837837837838,29,6,10
rolinha,0.8620689655172413,0.9259259259259259,0.8928571428571429,25,4,2
sanhaco_da_amazonia,0.7692307692307693,0.8695652173913043,0.8163265306122449,20,6,3
sanhaco_do_coqueiro,0.5151515151515151,0.68,0.5862068965517241,17,16,8
