,precision,recall,f1-score,TP,FP,FN
canario_do_amazonas,0.7746478873239436,0.9482758620689655,0.8527131782945736,55,16,3
chupim,0.0,0.0,0.0,0,0,39
rolinha,0.7096774193548387,0.8148148148148148,0.7586206896551724,22,9,5
sanhaco_da_amazonia,1.0,0.08695652173913043,0.16,2,0,21
sanhaco_do_coqueiro,0.5,0.24,0.32432432432432434,6,6,19
