,precision,recall,f1-score,TP,FP,FN
canario_do_amazonas,0.9032258064516129,0.9655172413793104,0.9333333333333333,56,6,2
chupim,0.8809523809523809,0.9487179487179487,0.9135802469135802,37,5,2
rolinha,0.9615384615384616,0.9259259259259259,0.9433962264150944,25,1,2
sanhaco_da_amazonia,0.9583333333333334,1.0,0.9787234042553191,23,1,0
sanhaco_do_coqueiro,0.7857142857142857,0.88,0.830188679245283,22,6,3
