,precision,recall,f1-score,TP,FP,FN
canario_do_amazonas,0.8888888888888888,0.9655172413793104,0.9256198347107438,56,7,2
chupim,0.9411764705882353,0.8205128205128205,0.8767123287671232,32,2,7
rolinha,0.8571428571428571,0.8888888888888888,0.8727272727272727,24,4,3
sanhaco_da_amazonia,0.92,1.0,0.9583333333333334,23,2,0
sanhaco_do_coqueiro,0.6470588235294118,0.88,0.7457627118644068,22,12,3
