,precision,recall,f1-score,TP,FP,FN
canario_do_amazonas,0.9193548387096774,0.9827586206896551,0.95,57,5,1
chupim,0.8780487804878049,0.9230769230769231,0.9,36,5,3
rolinha,0.9642857142857143,1.0,0.9818181818181818,27,1,0
sanhaco_da_amazonia,0.92,1.0,0.9583333333333334,23,2,0
sanhaco_do_coqueiro,0.84,0.84,0.8399999999999999,21,4,4
