,precision,recall,f1-score,TP,FP,FN
canario_do_amazonas,0.8769230769230769,0.9827586206896551,0.9268292682926829,57,8,1
chupim,0.926829268292683,0.9743589743589743,0.9500000000000001,38,3,1
rolinha,0.96,0.8888888888888888,0.923076923076923,24,1,3
sanhaco_da_amazonia,0.9583333333333334,1.0,0.9787234042553191,23,1,0
sanhaco_do_coqueiro,0.7333333333333333,0.88,0.8,22,8,3
