,precision,recall,f1-score,TP,FP,FN
canario_do_amazonas,0.875,0.9655172413793104,0.9180327868852458,56,8,2
chupim,0.95,0.9743589743589743,0.9620253164556962,38,2,1
rolinha,0.896551724137931,0.9629629629629629,0.9285714285714286,26,3,1
sanhaco_da_amazonia,0.92,1.0,0.9583333333333334,23,2,0
sanhaco_do_coqueiro,0.88,0.88,0.88,22,3,3
