,precision,recall,f1-score,TP,FP,FN
canario_do_amazonas,0.9344262295081968,0.9827586206896551,0.9579831932773109,57,4,1
chupim,0.9,0.9230769230769231,0.9113924050632911,36,4,3
rolinha,0.9642857142857143,1.0,0.9818181818181818,27,1,0
sanhaco_da_amazonia,0.8518518518518519,1.0,0.92,23,4,0
sanhaco_do_coqueiro,0.8461538461538461,0.88,0.8627450980392156,22,4,3
