,precision,recall,f1-score,TP,FP,FN
canario_do_amazonas,0.7049180327868853,0.7413793103448276,0.7226890756302522,43,18,15
chupim,0.7894736842105263,0.7692307692307693,0.7792207792207793,30,8,9
rolinha,0.7777777777777778,0.7777777777777778,0.7777777777777778,21,6,6
sanhaco_da_amazonia,0.7037037037037037,0.8260869565217391,0.76,19,8,4
sanhaco_do_coqueiro,0.7142857142857143,0.8,0.7547169811320756,20,8,5
